,Year,School,Conf,Recruit_Val,5 Stars,4 Stars,3 Stars,Total Commits,AVG NIL,Post_NIL,Coach Pay,Revenue,Stadium Capacity,Viewership,US News
0,2017,Alabama,SEC,94.65625,7,17,4,28,32000.0,0,10000000.0,214365357.0,101821,5.44,136
1,2017,Ohio State,Big Ten,69.46875,5,14,2,21,22000.0,0,10021250.0,251615345.0,104944,5.16,41
2,2017,Georgia,SEC,39.1875,2,17,6,26,43000.0,0,13282580.0,203048566.0,92746,5.97,46
3,2017,Michigan,Big Ten,44.1875,2,22,6,30,27000.0,0,6000000.0,210652287.0,107601,4.01,21
4,2017,USC,Big Ten,16.0,0,16,8,25,43000.0,0,10043418.0,,93607,2.408,27
5,2017,Florida State,ACC,54.375,4,10,9,23,14600.0,0,10000000.0,161141884.0,82300,1.64,54
6,2017,LSU,SEC,25.09375,1,14,8,24,55000.0,0,9975000.0,199309382.0,102321,3.58,175
7,2017,Oklahoma,SEC,17.0,0,17,11,28,11700.0,0,8152000.0,177320217.0,82112,2.8,132
8,2017,Stanford,ACC,50.375,4,6,4,14,18200.0,0,,,50000,0.478,4
9,2017,Florida,SEC,13.0,0,13,10,24,15200.0,0,7370000.0,190417139.0,88548,3.639,30
10,2017,Clemson,ACC,31.1875,2,9,3,14,18000.0,0,11132775.0,158283618.0,81500,1.7,80
11,2017,Miami (FL),ACC,9.0,0,9,15,24,19900.0,0,7783059.0,,65326,2.24,63
12,2017,Auburn,SEC,23.09375,1,12,9,22,17500.0,0,6728100.0,174568442.0,87451,2.16,105
13,2017,Texas A&M,SEC,11.0,0,11,16,28,67000.0,0,7000000.0,193139619.0,102733,3.37,51
14,2017,Notre Dame,Ind,12.0,0,12,9,21,27000.0,0,6687754.0,,80795,2.51,18
15,2017,South Carolina,SEC,9.0,0,9,17,26,38000.0,0,6401996.0,142210807.0,80250,1.91,121
16,2017,Penn State,Big Ten,11.0,0,11,10,21,12600.0,0,8500000.0,181227448.0,106572,2.457,63
17,2017,Tennessee,SEC,18.09375,1,7,20,28,22000.0,0,9000000.0,154566935.0,102455,3.598,109
18,2017,Maryland,Big Ten,10.0,0,10,18,28,26000.0,0,5801900.0,107526374.0,51802,0.386,44
19,2017,Oregon,Big Ten,9.0,0,9,16,25,30000.0,0,8200000.0,153510555.0,54000,2.466,109
20,2017,Washington,Big Ten,8.0,0,8,9,18,36000.0,0,7700023.0,145184864.0,70500,1.267,46
21,2017,UCLA,Big Ten,27.1875,2,5,10,17,25000.0,0,3250000.0,103061344.0,92542,1.41,15
22,2017,Mississippi State,SEC,3.0,0,3,17,24,30000.0,0,4250000.0,110653367.0,61337,0.799,175
23,2017,Virginia Tech,ACC,6.0,0,6,19,27,17200.0,0,4775000.0,113000052.0,66233,0.605,175
24,2017,Nebraska,Big Ten,7.0,0,7,12,19,18500.0,0,6500000.0,143423944.0,87091,2.469,175
25,2017,Arkansas,SEC,5.0,0,5,17,23,21000.0,0,6498000.0,152513755.0,72000,1.59,175
26,2017,Texas,SEC,7.0,0,7,11,18,16000.0,0,10600000.0,239290648.0,100119,4.63,30
27,2017,Colorado,Big 12,4.0,0,4,25,30,35000.0,0,5700000.0,94873830.0,50183,3.55,98
28,2017,Ole Miss,SEC,6.0,0,6,14,24,30000.0,0,9000000.0,,60580,2.407,175
29,2017,North Carolina,ACC,8.0,0,8,12,21,13300.0,0,5000000.0,122603567.0,62980,0.328,27
30,2017,Wisconsin,Big Ten,6.0,0,6,13,19,14200.0,0,7725000.0,150100977.0,80321,1.54,39
31,2017,Michigan State,Big Ten,4.0,0,4,21,26,41000.0,0,7250000.0,172799513.0,75005,0.846,63
32,2017,Kentucky,SEC,4.0,0,4,16,23,31000.0,0,9013600.0,159079024.0,62093,1.48,175
33,2017,Pittsburgh,ACC,4.0,0,4,21,26,15100.0,0,6699551.0,,68400,0.497,70
34,2017,Louisville,ACC,5.0,0,5,16,25,23000.0,0,5631057.0,146225965.0,55000,0.734,175
35,2017,Oklahoma State,Big 12,3.0,0,3,19,23,13200.0,0,7750000.0,104404398.0,60218,1.09,175
36,2017,Baylor,Big 12,2.0,0,2,24,28,26000.0,0,4540885.0,,45140,0.767,91
37,2017,Arizona State,Big 12,4.0,0,4,14,22,17800.0,0,3950000.0,121079615.0,71706,0.58,121
38,2017,TCU,Big 12,5.0,0,5,16,23,16300.0,0,5008414.0,,45000,0.705,105
39,2017,Duke,ACC,3.0,0,3,19,22,13300.0,0,,,33941,0.359,6
40,2017,Utah,Big 12,1.0,0,1,18,23,24000.0,0,6525000.0,115719266.0,45017,1.19,136
41,2017,Missouri,SEC,1.0,0,1,22,24,9400.0,0,9000000.0,141157028.0,71168,0.961,109
42,2017,Arizona,Big 12,2.0,0,2,23,27,21000.0,0,3100000.0,124353539.0,51811,0.773,109
43,2017,Texas Tech,Big 12,1.0,0,1,18,20,10200.0,0,4247960.0,110154695.0,60862,0.606,175
44,2017,West Virginia,Big 12,0.0,0,0,22,23,28000.0,0,4000000.0,105193311.0,60000,0.796,175
45,2017,Illinois,Big Ten,1.0,0,1,23,26,21000.0,0,6650000.0,145735330.0,60670,1.273,80
46,2017,Northwestern,Big Ten,1.0,0,1,18,19,9300.0,0,,,47130,0.494,6
47,2017,Iowa State,Big 12,0.0,0,0,24,25,10700.0,0,4009886.0,111287492.0,61500,0.857,121
48,2017,Iowa,Big Ten,13.09375,1,2,19,22,12200.0,0,7000000.0,151483092.0,70585,1.85,98
49,2017,Georgia Tech,ACC,2.0,0,2,22,25,16000.0,0,2900000.0,106635094.0,55000,1.89,33
50,2018,Georgia,SEC,109.54545454545453,9,13,4,26,48000.0,0,13282580.0,203048566.0,92746,5.97,46
51,2018,Ohio State,Big Ten,53.18181818181818,3,21,2,26,38000.0,0,10021250.0,251615345.0,104944,5.16,41
52,2018,Texas,SEC,39.45454545454545,2,18,8,29,42000.0,0,10600000.0,239290648.0,100119,4.63,30
53,2018,USC,Big Ten,73.36363636363636,6,9,1,17,47000.0,0,10043418.0,,93607,2.408,27
54,2018,Penn State,Big Ten,44.18181818181818,3,12,8,23,32000.0,0,8500000.0,181227448.0,106572,2.457,63
55,2018,Clemson,ACC,60.63636363636363,5,7,5,17,29000.0,0,11132775.0,158283618.0,81500,1.7,80
56,2018,Alabama,SEC,33.45454545454545,2,12,5,21,32000.0,0,10000000.0,214365357.0,101821,5.44,136
57,2018,Oklahoma,SEC,23.727272727272727,1,13,7,24,46000.0,0,8152000.0,177320217.0,82112,2.8,132
58,2018,Auburn,SEC,15.0,0,15,8,23,59000.0,0,6728100.0,174568442.0,87451,2.16,105
59,2018,LSU,SEC,23.727272727272727,1,13,8,22,28000.0,0,9975000.0,199309382.0,102321,3.58,175
60,2018,Notre Dame,Ind,13.0,0,13,14,27,45000.0,0,6687754.0,,80795,2.51,18
61,2018,Miami (FL),ACC,23.727272727272727,1,13,7,23,57000.0,0,7783059.0,,65326,2.24,63
62,2018,Florida State,ACC,13.0,0,13,8,21,33000.0,0,10000000.0,161141884.0,82300,1.64,54
63,2018,Texas A&M,SEC,16.0,0,16,7,23,56000.0,0,7000000.0,193139619.0,102733,3.37,51
64,2018,Oregon,Big Ten,11.0,0,11,12,24,43000.0,0,8200000.0,153510555.0,54000,2.466,109
65,2018,Florida,SEC,13.0,0,13,6,20,39000.0,0,7370000.0,190417139.0,88548,3.639,30
66,2018,Washington,Big Ten,12.0,0,12,7,20,56000.0,0,7700023.0,145184864.0,70500,1.267,46
67,2018,Nebraska,Big Ten,8.0,0,8,15,26,37000.0,0,6500000.0,143423944.0,87091,2.469,175
68,2018,South Carolina,SEC,9.0,0,9,11,21,50000.0,0,6401996.0,142210807.0,80250,1.91,121
69,2018,UCLA,Big Ten,10.0,0,10,15,27,30000.0,0,3250000.0,103061344.0,92542,1.41,15
70,2018,Virginia Tech,ACC,6.0,0,6,20,26,30000.0,0,4775000.0,113000052.0,66233,0.605,175
71,2018,Michigan,Big Ten,8.0,0,8,11,21,33000.0,0,6000000.0,210652287.0,107601,4.01,21
72,2018,Baylor,Big 12,6.0,0,6,17,23,37000.0,0,4540885.0,,45140,0.767,91
73,2018,Louisville,ACC,5.0,0,5,18,25,38000.0,0,5631057.0,146225965.0,55000,0.734,175
74,2018,North Carolina,ACC,6.0,0,6,16,22,39000.0,0,5000000.0,122603567.0,62980,0.328,27
75,2018,Tennessee,SEC,6.0,0,6,14,20,92000.0,0,9000000.0,154566935.0,102455,3.598,109
76,2018,Mississippi State,SEC,6.0,0,6,17,24,45000.0,0,4250000.0,110653367.0,61337,0.799,175
77,2018,TCU,Big 12,4.0,0,4,17,24,26000.0,0,5008414.0,,45000,0.705,105
78,2018,Michigan State,Big Ten,4.0,0,4,18,22,40000.0,0,7250000.0,172799513.0,75005,0.846,63
79,2018,North Carolina State,ACC,6.0,0,6,18,25,34000.0,0,5965377.0,102387569.0,57583,0.557,58
80,2018,Kentucky,SEC,3.0,0,3,21,24,43000.0,0,9013600.0,159079024.0,62093,1.48,175
81,2018,Maryland,Big Ten,3.0,0,3,19,24,30000.0,0,5801900.0,107526374.0,51802,0.386,44
82,2018,West Virginia,Big 12,2.0,0,2,20,23,30000.0,0,4000000.0,105193311.0,60000,0.796,175
83,2018,Stanford,ACC,5.0,0,5,10,15,13100.0,0,,,50000,0.478,4
84,2018,Oklahoma State,Big 12,1.0,0,1,21,24,25000.0,0,7750000.0,104404398.0,60218,1.09,175
85,2018,Iowa,Big Ten,3.0,0,3,21,25,24000.0,0,7000000.0,151483092.0,70585,1.85,98
86,2018,Wisconsin,Big Ten,1.0,0,1,19,21,45000.0,0,7725000.0,150100977.0,80321,1.54,39
87,2018,Minnesota,Big Ten,3.0,0,3,21,25,30000.0,0,6700000.0,135198272.0,52525,0.795,54
88,2018,Ole Miss,SEC,4.0,0,4,15,20,27000.0,0,9000000.0,,60580,2.407,175
89,2018,Missouri,SEC,2.0,0,2,24,26,45000.0,0,9000000.0,141157028.0,71168,0.961,109
90,2018,Vanderbilt,SEC,4.0,0,4,16,22,37000.0,0,3189744.0,,40350,0.423,18
91,2018,Pittsburgh,ACC,1.0,0,1,20,22,31000.0,0,6699551.0,,68400,0.497,70
92,2018,Arizona State,Big 12,2.0,0,2,19,21,17600.0,0,3950000.0,121079615.0,71706,0.58,121
93,2018,California,ACC,3.0,0,3,18,22,26000.0,0,4600000.0,118212179.0,62717,0.366,17
94,2018,Utah,Big 12,2.0,0,2,17,22,30000.0,0,6525000.0,115719266.0,45017,1.19,136
95,2018,Colorado,Big 12,0.0,0,0,21,23,33000.0,0,5700000.0,94873830.0,50183,3.55,98
96,2018,Indiana,Big Ten,1.0,0,1,26,27,37000.0,0,4250000.0,166761471.0,52959,1.78,73
97,2018,Syracuse,ACC,1.0,0,1,18,20,22000.0,0,,,49250,0.452,73
98,2018,Georgia Tech,ACC,3.0,0,3,19,23,46000.0,0,2900000.0,106635094.0,55000,1.89,33
99,2019,Alabama,SEC,56.46875,3,23,1,27,45000.0,0,10000000.0,214365357.0,101821,5.44,136
100,2019,Georgia,SEC,69.78125,5,14,5,24,35000.0,0,13282580.0,203048566.0,92746,5.97,46
101,2019,Texas,SEC,26.15625,1,15,8,24,16400.0,0,10600000.0,239290648.0,100119,4.63,30
102,2019,Texas A&M,SEC,35.3125,2,13,11,27,33000.0,0,7000000.0,193139619.0,102733,3.37,51
103,2019,LSU,SEC,44.46875,3,11,10,24,26000.0,0,9975000.0,199309382.0,102321,3.58,175
104,2019,Oklahoma,SEC,45.46875,3,12,8,23,44000.0,0,8152000.0,177320217.0,82112,2.8,132
105,2019,Michigan,Big Ten,38.3125,2,16,8,26,38000.0,0,6000000.0,210652287.0,107601,4.01,21
106,2019,Oregon,Big Ten,24.15625,1,13,12,26,63000.0,0,8200000.0,153510555.0,54000,2.466,109
107,2019,Clemson,ACC,26.15625,1,15,13,29,41000.0,0,11132775.0,158283618.0,81500,1.7,80
108,2019,Penn State,Big Ten,26.15625,1,15,6,22,67000.0,0,8500000.0,181227448.0,106572,2.457,63
109,2019,Florida,SEC,16.0,0,16,8,25,27000.0,0,7370000.0,190417139.0,88548,3.639,30
110,2019,Auburn,SEC,35.3125,2,13,6,21,33000.0,0,6728100.0,174568442.0,87451,2.16,105
111,2019,Tennessee,SEC,31.3125,2,9,11,22,75000.0,0,9000000.0,154566935.0,102455,3.598,109
112,2019,Notre Dame,Ind,16.0,0,16,6,22,33000.0,0,6687754.0,,80795,2.51,18
113,2019,Ohio State,Big Ten,32.3125,2,10,5,17,17600.0,0,10021250.0,251615345.0,104944,5.16,41
114,2019,Washington,Big Ten,16.0,0,16,7,23,51000.0,0,7700023.0,145184864.0,70500,1.267,46
115,2019,Nebraska,Big Ten,9.0,0,9,19,28,21000.0,0,6500000.0,143423944.0,87091,2.469,175
116,2019,Arkansas,SEC,10.0,0,10,13,26,50000.0,0,6498000.0,152513755.0,72000,1.59,175
117,2019,Ole Miss,SEC,19.15625,1,8,21,30,83000.0,0,9000000.0,,60580,2.407,175
118,2019,Florida State,ACC,9.0,0,9,12,21,57000.0,0,10000000.0,161141884.0,82300,1.64,54
119,2019,USC,Big Ten,8.0,0,8,15,23,36000.0,0,10043418.0,,93607,2.408,27
120,2019,Mississippi State,SEC,17.15625,1,6,14,21,26000.0,0,4250000.0,110653367.0,61337,0.799,175
121,2019,South Carolina,SEC,17.15625,1,6,14,22,22000.0,0,6401996.0,142210807.0,80250,1.91,121
122,2019,Stanford,ACC,8.0,0,8,14,23,28000.0,0,,,50000,0.478,4
123,2019,Virginia Tech,ACC,7.0,0,7,14,23,24000.0,0,4775000.0,113000052.0,66233,0.605,175
124,2019,Miami (FL),ACC,7.0,0,7,9,17,69000.0,0,7783059.0,,65326,2.24,63
125,2019,TCU,Big 12,5.0,0,5,21,27,20000.0,0,5008414.0,,45000,0.705,105
126,2019,North Carolina State,ACC,3.0,0,3,20,25,31000.0,0,5965377.0,102387569.0,57583,0.557,58
127,2019,Wisconsin,Big Ten,13.15625,1,2,17,20,22000.0,0,7725000.0,150100977.0,80321,1.54,39
128,2019,Purdue,Big Ten,5.0,0,5,21,26,28000.0,0,4050000.0,115139432.0,56400,0.88,46
129,2019,North Carolina,ACC,5.0,0,5,20,25,51000.0,0,5000000.0,122603567.0,62980,0.328,27
130,2019,Arizona State,Big 12,7.0,0,7,17,24,17600.0,0,3950000.0,121079615.0,71706,0.58,121
131,2019,Michigan State,Big Ten,2.0,0,2,17,19,45000.0,0,7250000.0,172799513.0,75005,0.846,63
132,2019,Kentucky,SEC,2.0,0,2,20,22,28000.0,0,9013600.0,159079024.0,62093,1.48,175
133,2019,Baylor,Big 12,2.0,0,2,22,24,23000.0,0,4540885.0,,45140,0.767,91
134,2019,Missouri,SEC,2.0,0,2,20,23,19200.0,0,9000000.0,141157028.0,71168,0.961,109
135,2019,California,ACC,0.0,0,0,22,22,25000.0,0,4600000.0,118212179.0,62717,0.366,17
136,2019,Indiana,Big Ten,3.0,0,3,19,22,43000.0,0,4250000.0,166761471.0,52959,1.78,73
137,2019,Oklahoma State,Big 12,4.0,0,4,16,21,24000.0,0,7750000.0,104404398.0,60218,1.09,175
138,2019,Utah,Big 12,3.0,0,3,15,19,19400.0,0,6525000.0,115719266.0,45017,1.19,136
139,2019,Iowa,Big Ten,1.0,0,1,20,21,81000.0,0,7000000.0,151483092.0,70585,1.85,98
140,2019,Minnesota,Big Ten,0.0,0,0,20,20,23000.0,0,6700000.0,135198272.0,52525,0.795,54
141,2019,Virginia,ACC,1.0,0,1,22,23,38000.0,0,4251000.0,161916231.0,61500,0.248,24
142,2019,Northwestern,Big Ten,0.0,0,0,19,19,15000.0,0,,,47130,0.494,6
143,2019,UCLA,Big Ten,1.0,0,1,20,21,27000.0,0,3250000.0,103061344.0,92542,1.41,15
144,2019,Colorado,Big 12,0.0,0,0,24,26,22000.0,0,5700000.0,94873830.0,50183,3.55,98
145,2019,Georgia Tech,ACC,1.0,0,1,20,22,25000.0,0,2900000.0,106635094.0,55000,1.89,33
146,2019,Duke,ACC,1.0,0,1,20,21,17500.0,0,,,33941,0.359,6
147,2019,West Virginia,Big 12,0.0,0,0,19,22,30000.0,0,4000000.0,105193311.0,60000,0.796,175
148,2019,Iowa State,Big 12,2.0,0,2,19,23,23000.0,0,4009886.0,111287492.0,61500,0.857,121
149,2020,Georgia,SEC,70.09375,5,14,6,25,480000.0,0,13282580.0,203048566.0,92746,5.97,46
150,2020,Alabama,SEC,61.875,4,17,4,25,74000.0,0,10000000.0,214365357.0,101821,5.44,136
151,2020,Clemson,ACC,70.09375,5,14,4,23,45000.0,0,11132775.0,158283618.0,81500,1.7,80
152,2020,LSU,SEC,48.65625,3,15,3,21,27000.0,0,9975000.0,199309382.0,102321,3.58,175
153,2020,Ohio State,Big Ten,47.65625,3,14,7,25,105000.0,0,10021250.0,251615345.0,104944,5.16,41
154,2020,Texas A&M,SEC,35.4375,2,13,11,26,86000.0,0,7000000.0,193139619.0,102733,3.37,51
155,2020,Auburn,SEC,15.0,0,15,11,27,45000.0,0,6728100.0,174568442.0,87451,2.16,105
156,2020,Florida,SEC,28.21875,1,17,6,24,56000.0,0,7370000.0,190417139.0,88548,3.639,30
157,2020,Texas,SEC,25.21875,1,14,5,20,107000.0,0,10600000.0,239290648.0,100119,4.63,30
158,2020,Michigan,Big Ten,16.0,0,16,8,24,62000.0,0,6000000.0,210652287.0,107601,4.01,21
159,2020,Tennessee,SEC,13.0,0,13,10,23,127000.0,0,9000000.0,154566935.0,102455,3.598,109
160,2020,Oregon,Big Ten,41.65625,3,8,11,22,112000.0,0,8200000.0,153510555.0,54000,2.466,109
161,2020,Oklahoma,SEC,14.0,0,14,7,21,55000.0,0,8152000.0,177320217.0,82112,2.8,132
162,2020,Penn State,Big Ten,13.0,0,13,13,26,50000.0,0,8500000.0,181227448.0,106572,2.457,63
163,2020,Washington,Big Ten,21.21875,1,10,12,23,35000.0,0,7700023.0,145184864.0,70500,1.267,46
